unicode,emoji,cldr,cldr_link
U+2935,⤵,right arrow curving down,right-arrow-curving-down
U+1F503,🔃,clockwise vertical arrows,clockwise-vertical-arrows
U+1F504,🔄,counterclockwise arrows button,counterclockwise-arrows-button
U+1F519,🔙,BACK arrow,back-arrow
U+1F51A,🔚,END arrow,end-arrow
U+1F51B,🔛,ON! arrow,on-arrow
U+1F51C,🔜,SOON arrow,soon-arrow
U+1F51D,🔝,TOP arrow,top-arrow
U+1F6D0,🛐,place of worship,place-of-worship
U+269B,⚛,atom symbol,atom-symbol
U+1F549,🕉,om,om
U+2721,✡,star of David,star-of-david
U+2638,☸,wheel of dharma,wheel-of-dharma
U+262F,☯,yin yang,yin-yang
U+271D,✝,latin cross,latin-cross
U+2626,☦,orthodox cross,orthodox-cross
U+262A,☪,star and crescent,star-and-crescent
U+262E,☮,peace symbol,peace-symbol
U+1F54E,🕎,menorah,menorah
U+1F52F,🔯,dotted six-pointed star,dotted-six-pointed-star
U+1FAAF,🪯,⊛ khanda,khanda
U+2648,♈,Aries,aries
U+2649,♉,Taurus,taurus
U+264A,♊,Gemini,gemini
U+264B,♋,Cancer,cancer
U+264C,♌,Leo,leo
U+264D,♍,Virgo,virgo
U+264E,♎,Libra,libra
U+264F,♏,Scorpio,scorpio
U+2650,♐,Sagittarius,sagittarius
U+2651,♑,Capricorn,capricorn
U+2652,♒,Aquarius,aquarius
U+2653,♓,Pisces,pisces
U+26CE,⛎,Ophiuchus,ophiuchus
U+1F500,🔀,shuffle tracks button,shuffle-tracks-button
U+1F501,🔁,repeat button,repeat-button
U+1F502,🔂,repeat single button,repeat-single-button
U+25B6,▶,play button,play-button
U+23E9,⏩,fast-forward button,fast-forward-button
U+23ED,⏭,next track button,next-track-button
U+23EF,⏯,play or pause button,play-or-pause-button
U+25C0,◀,reverse button,reverse-button
U+23EA,⏪,fast reverse button,fast-reverse-button
U+23EE,⏮,last track button,last-track-button
U+1F53C,🔼,upwards button,upwards-button
U+23EB,⏫,fast up button,fast-up-button
U+1F53D,🔽,downwards button,downwards-button
U+23EC,⏬,fast down button,fast-down-button
U+23F8,⏸,pause button,pause-button
U+23F9,⏹,stop button,stop-button
U+23FA,⏺,record button,record-button
U+23CF,⏏,eject button,eject-button
U+1F3A6,🎦,cinema,cinema
U+1F505,🔅,dim button,dim-button
U+1F506,🔆,bright button,bright-button
U+1F4F6,📶,antenna bars,antenna-bars
U+1F6DC,🛜,⊛ wireless,wireless
U+1F4F3,📳,vibration mode,vibration-mode
U+1F4F4,📴,mobile phone off,mobile-phone-off
U+2640,♀,female sign,female-sign
U+2642,♂,male sign,male-sign
U+26A7,⚧,transgender symbol,transgender-symbol
U+2716,✖,multiply,multiply
U+2795,➕,plus,plus
U+2796,➖,minus,minus
U+2797,➗,divide,divide
U+1F7F0,🟰,heavy equals sign,heavy-equals-sign
U+267E,♾,infinity,infinity
U+203C,‼,double exclamation mark,double-exclamation-mark
U+2049,⁉,exclamation question mark,exclamation-question-mark
U+2753,❓,red question mark,question-mark
U+2754,❔,white question mark,white-question-mark
U+2755,❕,white exclamation mark,white-exclamation-mark
U+2757,❗,red exclamation mark,exclamation-mark
U+3030,〰,wavy dash,wavy-dash
U+1F4B1,💱,currency exchange,currency-exchange
U+1F4B2,💲,heavy dollar sign,heavy-dollar-sign
U+2695,⚕,medical symbol,medical-symbol
U+267B,♻,recycling symbol,recycling-symbol
U+269C,⚜,fleur-de-lis,fleur-de-lis
U+1F531,🔱,trident emblem,trident-emblem
U+1F4DB,📛,name badge,name-badge
U+1F530,🔰,Japanese symbol for beginner,japanese-symbol-for-beginner
U+2B55,⭕,hollow red circle,hollow-red-circle
U+2705,✅,check mark button,check-mark-button
U+2611,☑,check box with check,check-box-with-check
U+2714,✔,check mark,check-mark
U+274C,❌,cross mark,cross-mark
U+274E,❎,cross mark button,cross-mark-button
U+27B0,➰,curly loop,curly-loop
U+27BF,➿,double curly loop,double-curly-loop
U+303D,〽,part alternation mark,part-alternation-mark
U+2733,✳,eight-spoked asterisk,eight-spoked-asterisk
U+2734,✴,eight-pointed star,eight-pointed-star
U+2747,❇,sparkle,sparkle
U+00A9,©,copyright,copyright
U+00AE,®,registered,registered
U+2122,™,trade mark,trade-mark
U+0023 U+FE0F U+20E3,#️⃣,keycap: #,keycap-number-sign
U+002A U+FE0F U+20E3,*️⃣,keycap: *,keycap-asterisk
U+0030 U+FE0F U+20E3,0️⃣,keycap: 0,keycap-digit-zero
U+0031 U+FE0F U+20E3,1️⃣,keycap: 1,keycap-digit-one
U+0032 U+FE0F U+20E3,2️⃣,keycap: 2,keycap-digit-two
U+0033 U+FE0F U+20E3,3️⃣,keycap: 3,keycap-digit-three
U+0034 U+FE0F U+20E3,4️⃣,keycap: 4,keycap-digit-four
U+0035 U+FE0F U+20E3,5️⃣,keycap: 5,keycap-digit-five
U+0036 U+FE0F U+20E3,6️⃣,keycap: 6,keycap-digit-six
U+0037 U+FE0F U+20E3,7️⃣,keycap: 7,keycap-digit-seven
U+0038 U+FE0F U+20E3,8️⃣,keycap: 8,keycap-digit-eight
U+0039 U+FE0F U+20E3,9️⃣,keycap: 9,keycap-digit-nine
U+1F51F,🔟,keycap: 10,keycap-10
U+1F520,🔠,input latin uppercase,input-latin-uppercase
U+1F521,🔡,input latin lowercase,input-latin-lowercase
U+1F522,🔢,input numbers,input-numbers
U+1F523,🔣,input symbols,input-symbols
U+1F524,🔤,input latin letters,input-latin-letters
U+1F170,🅰,A button (blood type),a-button-blood-type
U+1F18E,🆎,AB button (blood type),ab-button-blood-type
U+1F171,🅱,B button (blood type),b-button-blood-type
U+1F191,🆑,CL button,cl-button
U+1F192,🆒,COOL button,cool-button
U+1F193,🆓,FREE button,free-button
U+2139,ℹ,information,information
U+1F194,🆔,ID button,id-button
U+24C2,Ⓜ,circled M,circled-m
U+1F195,🆕,NEW button,new-button
U+1F196,🆖,NG button,ng-button
U+1F17E,🅾,O button (blood type),o-button-blood-type
U+1F197,🆗,OK button,ok-button
U+1F17F,🅿,P button,p-button
U+1F198,🆘,SOS button,sos-button
U+1F199,🆙,UP! button,up-button
U+1F19A,🆚,VS button,vs-button
U+1F201,🈁,Japanese “here” button,japanese-here-button
U+1F202,🈂,Japanese “service charge” button,japanese-service-charge-button
U+1F237,🈷,Japanese “monthly amount” button,japanese-monthly-amount-button
U+1F236,🈶,Japanese “not free of charge” button,japanese-not-free-of-charge-button
U+1F22F,🈯,Japanese “reserved” button,japanese-reserved-button
U+1F250,🉐,Japanese “bargain” button,japanese-bargain-button
U+1F239,🈹,Japanese “discount” button,japanese-discount-button
U+1F21A,🈚,Japanese “free of charge” button,japanese-free-of-charge-button
U+1F232,🈲,Japanese “prohibited” button,japanese-prohibited-button
U+1F251,🉑,Japanese “acceptable” button,japanese-acceptable-button
U+1F238,🈸,Japanese “application” button,japanese-application-button
U+1F234,🈴,Japanese “passing grade” button,japanese-passing-grade-button
U+1F233,🈳,Japanese “vacancy” button,japanese-vacancy-button
U+3297,㊗,Japanese “congratulations” button,japanese-congratulations-button
U+3299,㊙,Japanese “secret” button,japanese-secret-button
U+1F23A,🈺,Japanese “open for business” button,japanese-open-for-business-button
U+1F235,🈵,Japanese “no vacancy” button,japanese-no-vacancy-button
U+1F534,🔴,red circle,large-red-circle
U+1F7E0,🟠,orange circle,large-orange-circle
U+1F7E1,🟡,yellow circle,large-yellow-circle
U+1F7E2,🟢,green circle,large-green-circle
U+1F535,🔵,blue circle,large-blue-circle
U+1F7E3,🟣,purple circle,large-purple-circle
U+1F7E4,🟤,brown circle,large-brown-circle
U+26AB,⚫,black circle,black-circle
U+26AA,⚪,white circle,white-circle
U+1F7E5,🟥,red square,red-square
U+1F7E7,🟧,orange square,orange-square
U+1F7E8,🟨,yellow square,yellow-square
U+1F7E9,🟩,green square,green-square
U+1F7E6,🟦,blue square,blue-square
U+1F7EA,🟪,purple square,purple-square
U+1F7EB,🟫,brown square,brown-square
U+2B1B,⬛,black large square,black-large-square
U+2B1C,⬜,white large square,white-large-square
U+25FC,◼,black medium square,black-medium-square
U+25FB,◻,white medium square,white-medium-square
U+25FE,◾,black medium-small square,black-medium-small-square
U+25FD,◽,white medium-small square,white-medium-small-square
U+25AA,▪,black small square,black-small-square
U+25AB,▫,white small square,white-small-square
U+1F536,🔶,large orange diamond,large-orange-diamond
U+1F537,🔷,large blue diamond,large-blue-diamond
U+1F538,🔸,small orange diamond,small-orange-diamond
U+1F539,🔹,small blue diamond,small-blue-diamond
U+1F53A,🔺,red triangle pointed up,red-triangle-pointed-up
U+1F53B,🔻,red triangle pointed down,red-triangle-pointed-down
U+1F4A0,💠,diamond with a dot,diamond-with-a-dot
U+1F518,🔘,radio button,radio-button
U+1F533,🔳,white square button,white-square-button
U+1F532,🔲,black square button,black-square-button
U+1F3C1,🏁,chequered flag,chequered-flag
U+1F6A9,🚩,triangular flag,triangular-flag
U+1F38C,🎌,crossed flags,crossed-flags
U+1F3F4,🏴,black flag,black-flag
U+1F3F3,🏳,white flag,white-flag
U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag,rainbow-flag
U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,🏳️‍⚧️,transgender flag,transgender-flag
U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,pirate flag,pirate-flag
U+1F1E6 U+1F1E8,🇦🇨,flag: Ascension Island,flag-ascension-island
U+1F1E6 U+1F1E9,🇦🇩,flag: Andorra,flag-andorra
U+1F1E6 U+1F1EA,🇦🇪,flag: United Arab Emirates,flag-united-arab-emirates
U+1F1E6 U+1F1EB,🇦🇫,flag: Afghanistan,flag-afghanistan
U+1F1E6 U+1F1EC,🇦🇬,flag: Antigua & Barbuda,flag-antigua-barbuda
U+1F1E6 U+1F1EE,🇦🇮,flag: Anguilla,flag-anguilla
U+1F1E6 U+1F1F1,🇦🇱,flag: Albania,flag-albania
U+1F1E6 U+1F1F2,🇦🇲,flag: Armenia,flag-armenia
U+1F1E6 U+1F1F4,🇦🇴,flag: Angola,flag-angola
U+1F1E6 U+1F1F6,🇦🇶,flag: Antarctica,flag-antarctica
U+1F1E6 U+1F1F7,🇦🇷,flag: Argentina,flag-argentina
U+1F1E6 U+1F1F8,🇦🇸,flag: American Samoa,flag-american-samoa
U+1F1E6 U+1F1F9,🇦🇹,flag: Austria,flag-austria
